Seddon|seddon|3011|west|Western Melbourne|compact period houses, apartments and renovated townhouses|narrow halls, rear access and shared entries|limited village parking and permit conditions|focused recurring care for compact homes|carpeted rooms where tight layouts affect equipment movement
Kensington|kensington|3031|west|Western Melbourne|terraces, apartments and townhouse developments|shared courtyards, secure foyers and narrow entries|permit streets near shopping and transport|adaptable cleaning for terraces, apartments and shared homes|bedroom carpet, stairs and runners with varied access
Maribyrnong|maribyrnong|3032|west|Western Melbourne|riverside apartments, townhouses and family homes|secure lifts, shared developments and driveways|visitor bays and residential kerbs|apartment and family-home care shaped by building access|apartment and townhouse carpet reached by lifts or stairs
Flemington|flemington|3031|west|Western Melbourne|terraces, apartments and older residential blocks|shared hallways, stairs and rear-lane entrances|permit restrictions and event parking pressure|regular care for compact inner-west homes|older apartment carpet and stairs needing condition notes
Kingsville|kingsville|3012|west|Western Melbourne|compact houses, townhouses and period residences|front paths, narrow passages and rear access|residential kerbs with limited off-street space|efficient maintenance for smaller family homes|bedroom carpet and runners shaped by narrow passages
Maidstone|maidstone|3012|west|Western Melbourne|family houses, units and newer townhouses|shared drives, garages and side-gate access|residential streets and on-property spaces|whole-home care for family layouts and busy rooms|multiple carpeted bedrooms affected by pets and furniture
Sunshine|sunshine|3020|west|Western Melbourne|family homes, units and apartments near a western centre|driveways, shared unit paths and secure entries|central restrictions with residential parking beyond|flexible services for homes, apartments and moves|bedroom and lounge carpet with property-dependent access
Newport|newport|3015|west|Western Melbourne|period houses, townhouses and family residences|front paths, side gates and rear access|parking tighter near station and shops|recurring family care and detailed period-home cleaning|bedroom carpet and runners reached through older layouts
Williamstown|williamstown|3016|west|Western Melbourne|period homes, apartments and larger bayside residences|gated paths, shared buildings and multi-level interiors|permit streets and seasonal waterfront pressure|regular care plus pre-event and moving support|carpet affected by coastal grit, stairs and period layouts
Spotswood|spotswood|3015|west|Western Melbourne|compact houses, townhouses and apartment pockets|front paths, shared entries and mixed-use streets|restrictions near station and business areas|practical recurring and targeted one-off care|bedroom carpet and stairs affected by unloading distance
Altona|altona|3018|west|Western Melbourne|family homes, units and apartments on bayside streets|driveways, shared developments and side access|parking busier near beach and shops|recurring family support and detailed bayside cleans|bedroom and living carpet affected by sand, pets and moisture
